GER,ENG,FRE
"AMERIKA","AMERICA","AMÉRIQUE"
"ANEIGNUNG","APPROPRIATION","APPROPRIATION"
"ANONYM","ANONYM","ANONYME"
"AURA","AURA","AURA"
"AUTOR","AUTHOR","AUTEUR"
"AVANTGARDE","AVANTGARDE","AVANTGARDE"
"AVATAR","AVATAR","AVATAR"
"BEGRIFF","TERM","TERME"
"BIBLIOTHEK","LIBRARY","BIBLIOTHÈQUE"
"BILD","IMAGE","IMAGE"
"BUCH","BOOK","LIVRE"
"BÜHNE","STAGE","SCÈNE"
"CHOCK","SHOCK","CHOC"
"CYBERSPACE","CYBERSPACE","CYBERSPACE"
"DIGITAL","DIGITAL","DIGITAL"
"DRUCK","PRINTING","IMPRIMÉ"
"EXIL","EXILE","EXIL"
"FLANEUR","FLÂNEUR","FLÂNEUR"
"FLUCHT","ESCAPE","FUITE"
"GEDÄCHTNIS","MEMORY","MEMOIRE"
"GESCHICHTE","HISTORY","HISTOIRE"
"HASCHISCH","HASHISH","HASCHICH"
"HAUPTSTADT","CAPITAL","CAPITALE"
"INSTITUT","INSTITUTE","INSTITUT"
"JÄGER","HUNTER","CHASSEUR"
"JAHRHUNDERT","CENTURY","SIÈCLE"
"KINO FILM","CINEMA MOVIE","CINÉMA FILM"
"KOPIE","COPY","COPIE"
"KUNSTWERK","ARTWORK","ŒUVRE D'ART"
"LEKTÜRE","READING","LECTURE"
"LITERARISIERUNG","",""
"LITERATUR","LITERATURE","LITTÉRATURE"
"MEDIUM","MEDIUM","MÉDIUM"
"META","META","MÉTA"
"METAPHER","METAPHOR","METAPHORE"
"METROPOLE","METROPOLIS","MÉTROPOLE"
"MONTAGE","MONTAGE","MONTAGE"
"NACHLEBEN","AFTERLIFE","APRÈS-VIE"
"NAME","NAME","NOM"
"NEW YORK","NEW YORK","NEW YORK"
"PARIS","PARIS","PARIS"
"PHOTO","PHOTO","PHOTO"
"PLAGIAT","PLAGIARISM","PLAGIAT"
"PROTHESE","PROSTHESIS","PROTHÈSE"
"RAUSCH","INTOXICATION","IVRESSE"
"REPRODUKTION","REPRODUCTION","REPRODUCTION"
"SCHRIFT","WRITING","ÉCRITURE"
"SOFTWARE","SOFTWARE","LOGOCIEL"
"STRAßENNAME","STREET NAME","NOM DE RUE"
"TELEGRAPHIE","TELEGRAPHY","TÉLÉGRAPHIE"
"TEXT","TEXT","TEXTE"
"ÜBERSETZUNG","TRANSLATION","TRADUCTION"
"ÜBERWACHUNG","SURVEILLANCE","SURVEILLANCE"
"UNIVERSAL","UNIVERSAL","UNIVERSELL"
"VERLAUF","COURSE","COURS"
"VORLÄUFER","PRECURSOR","PRÉCURSEUR"
"WARE","COMMODITY","MERCHANDISE"
"WELTGEHIRN","WORLD BRAIN","CERVEAU GLOBAL"
"WIEDERKEHR","RETURN","RETOUR"
"WOHNUNG","",""
"ZITAT","QUOTATION","CITATION"
"ZUKUNFT","FUTURE","AVENIR"
